Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,13782603,Lion-li-li,"2025-05-17 04:21:29",1728.8,9,nina2025
2,13192162,wongsakornrat,"2025-05-05 02:55:55",1720.2,9,wongsakornrat
3,8917700,"Vsevolod Gerasimov","2025-05-17 01:12:19",1701.0,9,sjevka
4,10771961,"Jose Santos","2025-04-22 19:03:53",1671.0,1,jcsantos
5,8086394,"Tony Robinson","2025-05-29 18:02:40",1667.9,8,tonyrobinson
6,13708134,RuixinChen&HangYu,"2025-05-03 23:36:35",1467.0,9,"hangyu896,ruixinchen421"
7,13876804,"Vincent Oechsel","2025-05-26 10:05:22",1317.3,1,vincentoechsel
8,13902831,"zhexuan Xu","2025-06-08 10:02:00",1039.1,2,zhexuanxu
9,13894319,Yamiko,"2025-06-01 13:11:29",1035.0,2,iyamiko
10,5191720,sbroomfi,"2025-04-10 10:24:00",996.3,1,sbroomfi

50,13675332,"Hellwig Geisse","2025-04-26 12:03:24",714.9,8,hellwiggeisse
51,13785441,TaeyangLee,"2025-05-28 04:51:45",713.2,9,paccific707
52,13808623,"T John","2025-05-14 08:53:56",710.7,3,sean510
53,13697081,"KAR HOR YAP","2025-04-20 20:15:15",706.3,1,karhoryap
54,13737681,"Trevor Sithisakd","2025-04-28 07:19:54",695.7,1,trevorsithisakd
55,13815188,"Christopher DiCarlo","2025-05-18 02:28:38",690.2,4,christopherdicarlo
56,13870876,Magichear,"2025-06-07 06:37:34",688.2,2,magichear
57,13661947,"Felipe Sêrro","2025-04-13 01:42:58",687.9,3,felipesrro
58,13654566,"Wayne S.H. Back","2025-04-11 06:19:55",687.6,1,shback
59,13845430,"Nils Beese","2025-05-22 06:54:46",682.2,3,nilsbeese
60,13472857,Ran_21050,"2025-05-10 07:46:59",677.5,1,ran21050
61,13718291,BoNAro,"2025-05-29 20:30:31",675.1,8,bonaro
62,13728778,"Nana Anyani Boadum Agyepong","2025-05-07 16:21:55",670.4,2,nanaagyepong
63,13795617,"Saad Hassan","2025-05-16 15:12:19",666.5,2,saadhassan41199
64,13834534,ck2023,"2025-05-19 07:18:01",666.1,3,ck2023
65,13571639,zoeyangcc,"2025-04-10 07:13:51",661.2,1,zoeyangcc
66,13870452,"Pavlo Borysov","2025-05-24 21:57:26",657.1,2,pavloborysov
67,13773019,"Jake Shi","2025-05-06 23:53:56",651.4,3,jakexshi
68,13768575,"NGBEDE ACHEME","2025-05-09 00:22:34",650.0,4,ngbedeacheme
69,13786367,yahoo,"2025-05-07 23:24:53",642.2,2,yashandprashant
